"Time [s]";"Pressure [mmHg]";
3.53;0.00;
3.54;0.00;
3.55;0.00;
3.56;0.00;
3.57;0.00;
3.58;0.08;
3.59;0.00;
3.60;0.00;
3.61;0.00;
3.62;0.00;
3.63;0.00;
3.64;0.00;
3.65;0.00;
3.66;0.00;
3.67;0.00;
3.68;0.00;
3.69;0.00;
3.70;0.00;
3.71;0.00;
3.72;0.00;
3.73;0.00;
3.74;0.00;
3.75;0.00;
3.76;0.00;
3.77;0.00;
3.78;0.00;
3.79;0.00;
3.80;0.00;
3.81;0.00;
3.82;0.00;
3.83;0.00;
3.84;0.00;
3.85;0.00;
3.86;0.00;
3.87;0.00;
3.88;0.00;
3.89;0.00;
3.90;0.00;
3.91;0.00;
3.92;0.00;
3.93;0.00;
3.94;0.00;
3.95;0.00;
3.96;0.00;
3.97;0.00;
3.98;0.00;
3.99;0.00;
4.00;0.00;
4.01;0.00;
4.02;0.00;
4.03;0.00;
4.04;0.00;
4.05;0.00;
4.06;0.00;
4.07;0.00;
4.08;0.00;
4.09;0.00;
4.10;0.00;
4.11;0.00;
4.12;0.00;
4.13;0.00;
4.14;0.00;
4.15;0.00;
4.16;0.00;
4.17;0.00;
4.18;0.00;
4.19;0.00;
4.20;0.00;
4.21;0.00;
4.22;0.00;
4.23;0.00;
4.24;0.00;
4.25;0.00;
4.26;0.00;
4.27;0.00;
4.28;0.00;
4.29;0.00;
4.30;0.00;
4.31;0.00;
4.32;0.00;
4.33;0.00;
4.34;0.00;
4.35;0.00;
4.36;0.00;
4.37;0.00;
4.38;0.00;
4.39;0.00;
4.40;0.00;
4.41;0.00;
4.42;0.00;
4.43;0.00;
4.44;0.00;
4.45;0.00;
4.46;0.00;
4.47;0.00;
4.48;0.00;
4.49;0.00;
4.50;0.00;
4.51;0.00;
4.52;0.00;
4.53;0.00;
4.54;0.00;
4.55;0.00;
4.56;0.00;
4.57;0.00;
4.58;0.00;
4.59;0.00;
4.60;0.00;
4.61;0.00;
4.62;0.00;
4.63;0.00;
4.64;0.00;
4.65;0.00;
4.66;0.00;
4.67;0.00;
4.68;0.00;
4.69;0.00;
4.70;0.00;
4.71;0.00;
4.72;0.00;
4.73;0.00;
4.74;0.00;
4.75;0.00;
4.76;0.00;
4.77;0.00;
4.78;0.00;
4.79;0.00;
4.80;0.00;
4.81;0.00;
4.82;0.00;
4.83;0.00;
4.84;0.00;
4.85;0.00;
4.86;0.00;
4.87;0.00;
4.88;0.00;
4.89;0.00;
4.90;0.00;
4.91;0.00;
4.92;0.00;
4.93;0.00;
4.94;0.00;
4.95;0.00;
4.96;0.00;
4.97;0.00;
4.98;0.00;
4.99;0.00;
5.00;0.00;
5.01;0.00;
5.02;0.00;
5.03;0.00;
5.04;0.00;
5.05;0.00;
5.06;0.00;
5.07;0.00;
5.08;0.00;
5.09;0.00;
5.10;0.00;
5.11;0.00;
5.12;0.00;
5.13;0.00;
5.14;0.00;
5.15;0.00;
5.16;0.00;
5.17;0.00;
5.18;0.00;
5.19;0.00;
5.20;0.00;
5.21;0.00;
5.22;0.00;
5.23;0.00;
5.24;0.00;
5.25;0.00;
5.26;0.00;
5.27;0.00;
5.28;0.00;
5.29;0.00;
5.30;0.00;
5.31;0.00;
5.32;0.00;
5.33;0.00;
5.34;0.00;
5.35;0.00;
5.36;0.00;
5.37;0.00;
5.38;0.00;
5.39;0.00;
5.40;0.00;
5.41;0.00;
5.42;0.00;
5.43;0.00;
5.44;0.00;
5.45;0.00;
5.46;0.00;
5.47;0.00;
5.48;0.00;
5.49;0.00;
5.50;0.00;
5.51;0.00;
5.52;0.00;
5.53;0.00;
5.54;0.00;
5.55;0.00;
5.56;0.00;
5.57;0.00;
5.58;0.00;
5.59;0.00;
5.60;0.00;
5.61;0.00;
5.62;0.00;
5.63;0.00;
5.64;0.00;
5.65;0.00;
5.66;0.00;
5.67;0.00;
5.68;0.00;
5.69;0.00;
5.70;0.00;
5.71;0.00;
5.72;0.00;
5.73;0.00;
5.74;0.00;
5.75;0.00;
5.76;0.00;
5.77;0.00;
5.78;0.00;
5.79;0.00;
5.80;0.00;
5.81;0.00;
5.82;0.00;
5.83;0.00;
5.84;0.00;
5.85;0.00;
5.86;0.00;
5.87;0.00;
5.88;0.00;
5.89;0.00;
5.90;0.00;
5.91;0.00;
5.92;0.00;
5.93;0.00;
5.94;0.00;
5.95;0.00;
5.96;0.00;
5.97;0.00;
5.98;0.00;
5.99;0.00;
6.00;0.00;
6.01;0.00;
6.02;0.00;
6.03;0.00;
6.04;0.00;
6.05;0.00;
6.06;0.00;
6.07;0.00;
6.08;0.00;
6.09;0.00;
6.10;0.00;
6.11;0.00;
6.12;0.00;
6.13;0.00;
6.14;0.00;
6.15;0.00;
6.16;0.00;
6.17;0.00;
6.18;0.00;
6.19;0.00;
6.20;0.00;
6.21;0.00;
6.22;0.00;
6.23;0.00;
6.24;0.00;
6.25;0.00;
6.26;0.00;
6.27;0.00;
6.28;0.00;
6.29;0.00;
6.30;0.00;
6.31;0.00;
6.32;0.00;
6.33;0.00;
6.34;7.94;
6.35;22.66;
6.36;30.86;
6.37;38.34;
6.38;44.89;
6.39;52.53;
6.40;60.47;
6.41;68.94;
6.42;77.36;
6.43;85.91;
6.44;94.70;
6.45;104.08;
6.46;113.23;
6.47;121.72;
6.48;129.48;
6.49;136.52;
6.50;142.66;
6.51;147.84;
6.52;152.03;
6.53;155.77;
6.54;158.66;
6.55;161.08;
6.56;162.69;
6.57;164.00;
6.58;164.92;
6.59;165.34;
6.60;165.83;
6.61;166.30;
6.62;166.31;
6.63;166.41;
6.64;166.62;
6.65;166.62;
6.66;166.59;
6.67;166.61;
6.68;166.80;
6.69;166.62;
6.70;166.75;
6.71;166.86;
6.72;166.83;
6.73;166.97;
6.74;166.92;
6.75;166.86;
6.76;166.91;
6.77;166.78;
6.78;166.88;
6.79;166.88;
6.80;166.72;
6.81;166.59;
6.82;166.55;
6.83;166.53;
6.84;166.47;
6.85;166.41;
6.86;166.48;
6.87;166.45;
6.88;166.44;
6.89;166.48;
6.90;166.25;
6.91;166.27;
6.92;166.38;
6.93;166.23;
6.94;166.17;
6.95;166.20;
6.96;166.23;
6.97;166.17;
6.98;166.09;
6.99;166.00;
7.00;166.08;
7.01;166.05;
7.02;166.16;
7.03;166.00;
7.04;165.97;
7.05;165.88;
7.06;165.95;
7.07;165.94;
7.08;165.88;
7.09;165.97;
7.10;165.86;
7.11;165.89;
7.12;165.84;
7.13;165.88;
7.14;165.75;
7.15;165.73;
7.16;165.69;
7.17;165.64;
7.18;165.67;
7.19;165.62;
7.20;165.55;
7.21;165.45;
7.22;165.47;
7.23;165.44;
7.24;165.47;
7.25;165.28;
7.26;165.36;
7.27;165.34;
7.28;165.30;
7.29;165.33;
7.30;165.33;
7.31;165.19;
7.32;165.28;
7.33;165.30;
7.34;165.17;
7.35;165.16;
7.36;165.09;
7.37;165.16;
7.38;165.09;
7.39;165.16;
7.40;165.08;
7.41;164.88;
7.42;165.05;
7.43;164.97;
7.44;164.92;
7.45;164.84;
7.46;164.80;
7.47;164.98;
7.48;164.77;
7.49;164.78;
7.50;164.69;
7.51;164.69;
7.52;164.75;
7.53;164.66;
7.54;164.70;
7.55;164.70;
7.56;164.59;
7.57;164.58;
7.58;164.58;
7.59;164.38;
7.60;164.64;
7.61;164.53;
7.62;164.47;
7.63;164.59;
7.64;164.34;
7.65;164.53;
7.66;164.58;
7.67;164.39;
7.68;164.44;
7.69;164.34;
7.70;164.33;
7.71;164.27;
7.72;164.02;
7.73;164.16;
7.74;164.05;
7.75;164.00;
7.76;163.95;
7.77;163.98;
7.78;163.84;
7.79;163.95;
7.80;163.92;
7.81;164.06;
7.82;164.00;
7.83;163.94;
7.84;163.78;
7.85;163.75;
7.86;163.86;
7.87;163.83;
7.88;163.78;
7.89;163.81;
7.90;163.72;
7.91;163.73;
7.92;163.72;
7.93;163.66;
7.94;163.67;
7.95;163.66;
7.96;163.59;
7.97;163.59;
7.98;163.73;
7.99;163.55;
8.00;163.55;
8.01;163.58;
8.02;163.53;
8.03;163.39;
8.04;163.53;
8.05;163.42;
8.06;163.52;
8.07;163.48;
8.08;163.47;
8.09;163.20;
8.10;163.28;
8.11;163.22;
8.12;163.28;
8.13;163.11;
8.14;163.17;
8.15;163.22;
8.16;163.14;
8.17;163.14;
8.18;163.16;
8.19;163.14;
8.20;163.05;
8.21;163.02;
8.22;163.02;
8.23;163.09;
8.24;163.02;
8.25;162.89;
8.26;162.88;
8.27;162.77;
8.28;162.94;
8.29;162.83;
8.30;162.69;
8.31;162.78;
8.32;162.78;
